id,tweet,label
8001,this # happy af he just got his #galaxy4 mickjaggamusic Laughing Out Loud #samsung #nofilter,1.0
8002,let make a laptop that ha no ventilation substandard part and encase it in plasticmetal whyd i buy this again#greatidea,0.0
8003,block story  #«¥ #android #games #news #ios #apple #iphone,1.0
8004,this siri commercial crack me up siri suck as lolol #snort #samsungbaby,1.0
8005,1800 ray ban rb4125 cat 5000 brown #good #mood #mirror #mirrorvideo #me #life #instagram #toptags #instalike #like #follow #sing #singer #singing #music #nike #kipsta #legea #iphonex #raybanpictwittercomwtsdtjebe7,1.0
8006,#apple why the # you didnt create a wireless charger for iphone ive to charge it again and again,0.0
8007,10pcs exquisite squishy random charm in #iphone strap #toys decor #free #shop #style #sales #today #giveawaypictwittercomlxo2qay7jo,1.0
8008,thank you aurelio and te for the pasalubongs #samsung #live #laugh #switzerland #paris,1.0
8009,happy father day #fathersday #balloons #balloon #beer #today #sunday #iphone #iphonex #massachusetts pictwittercom1ma1r7zapv,1.0
8010,just got a fordmustang and an #iphone my life #thankyou mom and dad #winning,1.0
8011,the #prophet a a #husband #iphone #android #kindle #book september 19 2016 ,1.0
8012,awww come on #apple how badly can you #suck when it come to #airfoil speaker touch for shame for shame #fail #badhosts cc rogueamoeba,0.0
8013,my wonderful husband just bought me the new #iphone a an early anniversary present he is the best love that man Happyfaceorsmiley,1.0
8014,new photo so close no matter how far by bighajjar 500pxcomphoto1555856 via 500px #photography #france #iphone,1.0
8015,robbieknox what about ant who can lift many time their own bodyweight reduces a lion to a pussy,1.0
8016,how the # can #apple be so fucking retarded updated my phone and it deletes all music but leaf apps and ringtones intact,0.0
8017,sometimes i read my tweet from earlier and # auto correct suck asshole #apple,0.0
8018,djuice just shipped my new 3gs 44 day after i placed the order almost forgot about it still full price though bleh,1.0
8019,dont get me wrong i my iphone but if i hear the word #verizon #iphone in the same sentence one more time,0.0
8020,like the freaking update say it only take up 11gb# apple #apple,0.0
8021,#apple is trying to ban all #htc phone from the u low blow and completely out of fear of losing to android #apple,0.0
8022,until next thurs 6pm who on your love shopping list #drandrew #relationships #dating #iphone,1.0
8023,jdstudiosuk the new iphone6minipadnano pic leak #apple #iphone #iphone6 #iphone7 #sun #pretty #girls #cutepictwittercomszr0belrxc,1.0
8024,why are apple phone so amazing but there charger are piece of # #apple #chargers,0.0
8025,there are 6 #apple store in the nation that have the grey #iphone6plus in stock six all #sprint #crap ,1.0
8026,why cant there by just one universal plug cant there be just usb plug in,0.0
8027,well my contact on my phone are gone dont know what to do Frownsadandryorpouting #apple #upgrade,0.0
8028,small town brooklyn Get A Life moving to the big apple today #smile #joy #manhattan #big #apple #broadwaypictwittercommp9plrunub,1.0
8029,johnny depp in good spirit in #news #photography #fashion #health #fail #tech #ipad #iphone #funny #lol,1.0
8030,miss you all pensilmedia samsungid #pensilmedia #samsung #team #good #day #holiday,1.0
8031,isnt an ipad mini just an ipod same # thing #ripoffs,1.0
8032,hope this fit just right Winkorsmirk #silicon #case #samsung #galaxy #note2 #rubber #paulfrank #hotpink #cute,1.0
8033,this is the life #home #alone #munchies #apple #juice #doritos #dip #winegums and #chocolate #yum,1.0
8034,#samsung #note3 #sketch #stitch #doodle is finally #done #cute #disney,1.0
8035,badkidpaul when is the new update out babe im so ragin got my iphone5 3 week ago and now there a new one,0.0
